Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
No me impresionó,"La catedral es grande y esta en frente la plaza central o zócalo o plaza de la constitución en el centro de la cuidad. Al pasar por la reja hacia la catedral a mano derecha, hecho en piedra hay una cruz aplastando una serpiente, era una forma de decir a los español o mejor por los ""conquistadores"" que la fé cristiana estaba por encima de quetzacoalt, la serpiente emplumada, de hecho la catedral fue hecha con las piedras del templo mayor que está en un costado. No quise entrar a la catedral, no hay orgullo en tanta barbarie. Pero a los que son muy católicos o les gusta este tipo de arquitectura seguro les gustará.",,2,"Bogotá, Colombia",7 de abril de 2019,ene de 2019
Una visita encantadora.,"Creo que tienen demasiados espacios cerrados, parece un mercado con puestos de venta de artículos religiosos. Cada vez que la visito se parece menos a la Catedral de hace 30 años.",,5,,1 de abril de 2019,mar de 2019
Sientes la presencia de Dios,"Es una catedral hermosa, tiene gran variedad de imágenes, el órgano es hermoso y gigante, pero lo mejor está en el ala izquierda, donde se encuentra una imagen de Jesús Cristo con un letrero que hace que se te erice la piel “para acá está Dios”, es imposible no parar unos minutos a darle gracias a Dios por darte la oportunidad de conocer este lugar ",,5,"Ciudad de México, México",28 de marzo de 2019,mar de 2019
Otro obligado en cdmx...,"Lejos de la fe que se siga, no hay que negar que el lugar tiene una arquitectura impresionante, hay diversos tours, tome uno en el que me llevaron al interior y abajo de la catedral para ver parte de las ruinas donde fue construida...",,5,"Cancún, México",25 de marzo de 2019,mar de 2019
Una reliquia arquitectonica de la conquista religiosa,"Excelente construcción arquitectónica virreinal que combina lo sagrado con lo profano en estructuras con diferentes estilos (Gótico, Plateresco, Barroco, Estípite y Neoclásico)  en una época de la dominación de española  sobre los Mexicas. Las primeras obras de esta Catedral se inician en 1524 y se construyó sobre una pirámide mexica.",,5,"Heredia, Costa Rica",22 de marzo de 2019,oct de 2018
Tour por el campanario ,"Pregunta por este tour por el techo y campanarios, no está muy señalizado o difundido, pero te ofrece unas vistas muy lindas de la plaza principal (zócalo) de la Ciudad de México.",,5,"Ciudad de México, México",21 de marzo de 2019,mar de 2019
Catedral CDMX,"imponente edificio que llevó 300 años de construcción, por lo que se observan diferentes estilos. Impresionante escuchar misas, aún no siendo creyente, pues la acústica es muy buena. Tiene un órgano inmenso que conmueve con sus compases",,5,,20 de marzo de 2019,jul de 2018
La catedral más bonita de América ,Sin duda alguna es la catedral más bonita e impresionante de América. Gran trabajo de los ingeniero mexicanos que rescataron a la catedral del hundimiento que tenía. Ahora se puede apreciar perfecto ,,5,"Ciudad de México, México",19 de marzo de 2019,mar de 2019
simplemente espectacular,"Catedral majestuosa y preciosa. El interior es también rico en capillas con retablos, el órgano...todo es digno de ver y disfrutar.",,5,"Madrid, España",18 de marzo de 2019,mar de 2019
IMPRESIONANTE,"Esta Catedral es una obra maestra de la construcción religiosa española en MexicoEstá construido anexo a las ruinas del templo mayor ( y supongo que en parte sobre ellas), Su interior es realmente impresionante, recargada, como a su estilo corresponde y en cada una de sus recovecos merece la pena dedicarle un tiempo Impresiona también el asentamiento que tiene y que se puede observar claramente con el pendulo que tiene en su interior y muestra la posición a lo largo de los añosSin duda es un lugar a recorrer si se va a MexicoDf Por otra parte también se puede visitar la cripta de la Catedral donde están enterrados los arzobispos de la ciudad, por un coste de 40 pesosEs muy recomendable",,5,"Oviedo, España",18 de marzo de 2019,mar de 2019
Impresionante,"Es una arquitectura majestuosa, impresionate e imponente. Creo que si vas a México es obligatorio ir a la catedral y no cuesta nada el ingreso a la misma.",,5,"Santo Domingo, República Dominicana",17 de marzo de 2019,mar de 2019
CATEDRAL DEL ZOCALO o CATEDRAL METROPOLITANA,"Esta catalogada como la catedral mas grande de latinoamerica , ubicada en la Plaza de la Constitucion, conocida popularmente como ZOCALO, para quienes gustan de las obras arquitectonicas de este tipo es una visita casi que inevitable",,5,Costa Rica,17 de marzo de 2019,mar de 2019
Un lugar indispensable de visitar,"Está frente al zócalo capitalino u. Lugar con mucha Historia, te recomiendo vallas con sufí este tiempo y busques información sobre el tour de las campanas, el costo es entre 20 y 30’pesos pero la verdad la historia y el recorridos por los techos y campanas es espectacular las tomas que puedes hacer del zócalo, palacio de gobierno y centro historiavo son muy buenas desde el techo de catedral. Vale la pena bastante",,5,,13 de marzo de 2019,feb de 2019
MAJESTUOSA,"Desde afuera se empieza a apreciar el arte, majestuosa y llena de historias la catedral de la ciudad de México es una visita obligada. Un lugar bello , solemne, hasta el silencio pareciera que le tiene respeto . Cada ocasión que tengo amigos o familiares de visita en la ciudad no dudo en llevarlos a conocerla, independientemente de la religión que profesen es un lugar lleno de historia y arte.",,5,"Ciudad de México, México",11 de marzo de 2019,feb de 2019
Una de las grandes catedrales de América Latina.,"No será la Basílica de Guadalupe, pero su imagen del Cristo Negro también es muy importante para le iglesia católica mexicana. Una gran Catedral que debes recorrer en tu visita al zócalo",,5,"Buenos Aires, Argentina",3 de marzo de 2019,ene de 2019
Precioso lugar para visitar,Realmente es una Iglesia impresionante dentro tienen una tienda de recursos muy acessibles para los visitantes vale la pena ir a comprar y visitar esta magestuosa iglesia me encanto ir y volveria ir claro que si.,,5,"San José, Costa Rica",28 de febrero de 2019,feb de 2019
Falta mantención,"Recomiendo más ir de noche porque de día es como cualquier catedral, en la noche hay show de luces que es bastante interesante",,3,"Santiago, Chile",27 de febrero de 2019,feb de 2019
Bellísima,"La catedral metropolitana es simplemente hermosa. Su arquitectura, los techos, los vitrales, el impresionante órgano y la zona del coro. Con un estilo barroco gótico, la catedral imponente sobre sale sobre lo que fueron los vestigios de la gran tenochtitlan, de donde se sacaron las piedras que dan fundamento a este templo católico. Hoy en día conviven con cierta armonía en una atareada capital llena de tintes del pasado.No dejen de ver la capilla de la virgen de Guadalupe.Nota curiosa: Agustín de Iturbide emperador de México, está enterrado ahí. ",,5,"Dubái, Emiratos Árabes Unidos",25 de febrero de 2019,may de 2018
Obligatorio,"PUna parte de nuestra historia es la catedral, construida a un lado de el templo mayor y sobre dioses aztecas.Donde se funden tantas religiones, en la catedral la fe católica  y afuera las limpias, que han perdurado por siglos",,5,"México Central y Costa del Golfo, México",17 de febrero de 2019,feb de 2019
Joya Arquitectónica ,"La Catedral Metropolitana es una joya de arquitectura, sus grandes pilastras y detalles exteriores e interiores son impresionantes.Además, tienen una gruta en honor a Santa María la Antigua, Patrona de mi país Panamá 🇵🇦.No dejes de visitarlas. ",,5,"Ciudad de Panamá, Panamá",12 de febrero de 2019,feb de 2019
hermoso!,"un edificio al estilo barroco, lo hace bastante esplendoroso, queda uno prensado a tan bello estilo, queda anonadado de ese lugar",,5,,11 de febrero de 2019,dic de 2018
Impresionante su eneregia,"Entrar a la catedral es una experiencia en verdad mística, se siente una energía impresionante, a mí en una ocasión me toco entrar cuando sucedía una misa con tras sacerdotes orando al mismo tiempo en latín (una disculpa si desconozco el nombre de este tipo de misa), la arquitectura externa e interna es impresionante, las pipas del órgano suenan increíbles, como recomendación deben de tomar el tour del campanario donde explican la historia de sus campanas y sus nombres, incluso visitas una campana que está castigada por ser responsable de la muerte de un cura, sin duda es una visita interesante.",,5,"Ciudad Juárez, México",11 de febrero de 2019,mar de 2018
La catedral más importante de América,"La catedral más importante de América, otra de las paradas obligadas de los fieles católicos de todo el continente.",,4,"Chetumal, México",11 de febrero de 2019,feb de 2019
Excelente!,"Vale la pena recorrer esta hermosa Catedral, antigua y muy bien conservada. Se puede llegar con uno de los buses turísticos que circulan por la ciudad y desde allí recorrer la zona del Zócalo completa",,5,C.A.B.A.,3 de febrero de 2019,ene de 2019
Muy linda,Muy linda.El órgano en monumental. recomiendo asistir a los conciertos y obra de teatro que se lleva a cabo dentro de la catedral.La Catedral arquitectonicamente es linda por dentro y por fuera.recomiendo se contarte un guía pata bajar a los nichos bajo la catedral. Su construcción se entrelaza con diversas etapas históricas de México desde la Nueva España (la conquista) hasta al independencia de México.,,4,"México Central y Costa del Golfo, México",30 de enero de 2019,ago de 2018
"hermoso lugar, lastima que...","Es una hermosa catedral, muy completa y con mucha arquitectura y arte para apreciar, pero existen demasiadas restricciones para poder apreciarla en todo su esplendor. Hay zonas a las que no se puede acceder, inclusive si no hay misa, no se admiten guías, con lo cual no se puede entender lo que se esta viendo ni su historia, tampoco se pueden sacar fotos. Entiendo que es un lugar de culto, pero no deberían haber tantas restricciones.  ",,3,"Buenos Aires, Argentina",27 de enero de 2019,ene de 2019
Linda y aburrida,El Arte sacro marcó una etapa muy importante en el mundo cristiano. Una pasada vale la pena. Dos no.,,4,,23 de enero de 2019,nov de 2018
Joya histórica ,"Edificio emblemático y sobre todo un claro ejemplo del problema del hundimiento del suelo de la ciudad. Sus paredes torcidas, testigos fiel de la inestabilidad de lo que un día fue un lago. Independientemende de si eres religioso o no, es claro que la Catedral de México es una joya arquitectónica y de su centro histórico. Junto al Zócalo son cosas evidentes e inevitables.",,5,"Barcelona, España",20 de enero de 2019,ene de 2019
Hay que ir ,"Ya solo verla por fuera, ya te crees que eres un grano de arena en el desierto, es sumamente grande e interesante. No puedes dejar de visitarla.",,5,"Cocles, Costa Rica",16 de enero de 2019,ene de 2019
"Un lugar impresionante,, centro religioso importante",La catedral es el tercer lugar religioso mas importante de la ciudad de mexico despues de la basilica de guadalupe y el cerro del tepeyac. importante por el despliegue de arquitectura y magneficiencia hace 500 años,,5,"Ciudad de México, México",16 de enero de 2019,sept de 2018
Visita a nuestra ciudad,Como siempre es clave la catedral de mexico en contea esquina del palacio nacional. Frente a una plancha del.zocalo imponente y siempre con algo diferente que ver.La catedral y sus.retablos.son hermosos. Su organi monumental es extraordinario y.jumto.la.capilla de del oratorio.es un.bello ejemplo.del.estilo.churrigueresco en nuestro hermoso mexico.  Ya sea que seamos.citadinos o extranjeros es una obligaciin ver.el.entorno de la.misma.catedral.con su arquitextura y arte religioso asi como.todos lis que asisten con debocion.Esa era la estructura del poder y quizas aun: la Iglesia y el Estado frente a.una plaza.que se puede llenar por la visita del Papa J Pablo II o de mitines de lideres Como AMLO  o el.grito del.16 de septiembre.Es un espacio todo mexico,,4,"Ciudad de México, México",15 de enero de 2019,nov de 2018
